gameID,title,minPlayers,maxPlayers,maxPlaytime,minPlaytime,yearPublished
G472,"Saboteur",3,10,30,30,2004
G473,"Sail to India",3,4,60,60,2013
G474,"Saint Malo",2,5,45,45,2012
G475,"Saint Petersburg",2,4,60,45,2004
G476,"Samurai",2,4,60,30,1998
G477,"San Juan",2,4,60,45,2004
G478,"Sanssouci",2,4,45,30,2013
G479,"Santa Maria",1,4,90,45,2017
G480,"Santo Domingo",2,6,30,20,2017
G481,"Santorini",2,4,20,20,2016
G482,"Say Anything",3,8,30,30,2008
G483,"Say Anything Family Edition",3,6,30,30,2011
G484,"Scotland Yard: Hunting Mister X",2,4,15,15,2019
G485,"Scythe",1,5,115,115,2016
G486,"Sea Salt & Paper",2,4,45,30,2022
G487,"Seasons",2,4,60,60,2012
G488,"Secret Hitler",5,10,45,45,2016
G489,"Sentinels of the Multiverse",2,5,60,30,2011
G490,"Sequence",2,12,30,10,1982
G491,"The Settlers of Catan",3,6,75,60,2008
G492,"Seven Dragons",2,5,30,10,2011
G493,"Shadow Hunters",4,8,60,60,2005
G494,"Shadowrift",1,6,120,45,2012
G495,"Shadowrun: Crossfire",1,4,60,30,2014
G496,"Shadows over Camelot",3,7,90,60,2005
G497,"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases",1,8,120,60,1981
G498,"The Shipwreck Arcana",2,5,30,10,2017
G499,"Shogun",3,5,120,90,2006
G500,"Signorie",2,4,120,60,2015
G501,"Similo",2,8,15,10,2019
G502,"Skull",3,6,45,15,2011
G503,"Sleeping Queens",2,5,20,20,2005
G504,"Small World",2,5,80,40,2009
G505,"Small World Underground",2,5,90,30,2011
G506,"Smash Up",2,4,45,45,2012
G507,"Snake Oil: Elixir",3,8,30,30,2015
G508,"Sneaks & Snitches",2,5,20,20,2010
G509,"Snorta!",3,8,20,20,2004
G510,"So Clover!",3,6,30,30,2021
G511,"Sonora",1,4,45,30,2020
G512,"Space Base",2,5,60,60,2018
G513,"Specter Ops",2,5,120,60,2015
G514,"Spirit Island",1,4,120,90,2017
G515,"Spit It Out!",3,8,30,20,2015
G516,"Splendor",2,4,30,30,2014
G517,"Splendor Duel",2,2,30,30,2022
G518,"Spots",1,4,30,25,2022
G519,"Squint",3,8,30,30,2002
G520,"Star Realms",2,2,20,20,2014
G521,"Star Wars: Outer Rim",1,4,180,120,2019
G522,"Steam Time",2,4,90,90,2015
G523,"Steampunk Rally",2,8,60,45,2015
G524,"Stockpile",2,5,45,45,2015
G525,"Stone Age",2,4,90,60,2008
G526,"Strike",2,5,15,15,2012
G527,"Suburbia",1,4,90,60,2012
G528,"Survive: Escape from Atlantis!",2,4,60,45,1982
G529,"Sushi Go!",2,5,15,15,2013
G530,"Sushi Roll",2,5,20,20,2019
G531,"Sushi Roll!",3,8,10,10,2009
G532,"T.I.M.E Stories",2,4,90,90,2015
G533,"Taboo",4,10,20,20,1989
G534,"Tac Tac Jack",2,7,10,10,2008
G535,"Take 5",2,10,45,45,1994
G536,"Takenoko",2,4,45,45,2011
G537,"Tales & Games: The Hare & the Tortoise",2,5,20,15,2011
G538,"Tapple",2,10,30,30,2012
G539,"Targi",2,2,60,60,2012
G540,"Telestrations",4,8,30,30,2009
G541,"Tenpenny Parks",1,4,75,45,2022
